"provinsi","kabupaten","id"
SUMATERA UTARA,DANAU TOBA,"1"
PAPUA BARAT,FAKFAK,"2"
KALIMANTAN TIMUR,BALIKPAPAN,"3"
KALIMANTAN SELATAN,TABALONG,"4"
RIAU,INDRAGIRI HULU,"5"
SUMATERA SELATAN,MUSI RAWAS,"6"
KALIMANTAN BARAT,SINTANG,"7"
JAMBI,MUARO JAMBI,"8"
KALIMANTAN SELATAN,BANJAR BARU,"9"
SULAWESI SELATAN,SINJAI,"10"
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,"11"
PAPUA,NABIRE,"12"
LAMPUNG,LAMPUNG TENGAH,"13"
JAWA BARAT,KUNINGAN,"14"
ACEH,ACEH TENGAH,"15"
MALUKU,MALUKU TENGAH,"16"
ACEH,GAYO LUES,"17"
JAWA TIMUR,PONOROGO,"18"
BALI,BULELENG,"19"
MALUKU,AMBON,"20"
NUSA TENGGARA BARAT,LOMBOK UTARA,"21"
SUMATERA UTARA,KARO,"22"
SULAWESI BARAT,MAMUJU,"23"
KALIMANTAN BARAT,SINGKAWANG,"24"
JAWA TIMUR,PAMEKASAN,"25"
JAWA TIMUR,JEMBER,"26"
JAWA TENGAH,KENDAL,"27"
SULAWESI TENGGARA,KONAWE SELATAN,"28"
DKI JAKARTA,JAKARTA SELATAN,"29"
SULAWESI UTARA,BOLAANG MONGONDOW,"30"
KALIMANTAN SELATAN,TANAH BUMBU,"31"
SUMATERA SELATAN,OGAN ILIR,"32"
PAPUA,INTAN JAYA,"33"
KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,"34"
NUSA TENGGARA TIMUR,MALAKA,"35"
KALIMANTAN BARAT,KUBU RAYA,"36"
SUMATERA BARAT,PADANG PANJANG,"37"
SUMATERA UTARA,DELI SERDANG,"38"
JAWA TIMUR,MALANG,"39"
PAPUA,NDUGA,"40"
NUSA TENGGARA BARAT,MATARAM,"41"
RIAU,S I A K,"42"
DKI JAKARTA,JAKARTA PUSAT,"43"
JAWA TIMUR,TULUNGAGUNG,"44"
SULAWESI TENGAH,BUOL,"45"
KALIMANTAN UTARA,NUNUKAN,"46"
JAWA TENGAH,PURBALINGGA,"47"
SULAWESI SELATAN,GOWA,"48"
RIAU,INDRAGIRI HILIR,"49"
SULAWESI BARAT,MAMUJU UTARA,"50"
PAPUA BARAT,MAYBRAT,"51"
GORONTALO,GORONTALO UTARA,"52"
GORONTALO,GORONTALO,"53"
SUMATERA SELATAN,MUSI BANYUASIN,"54"
PAPUA BARAT,SORONG,"55"
SUMATERA UTARA,LABUHAN BATU SELATAN,"56"
SULAWESI SELATAN,PALOPO,"57"
KALIMANTAN TIMUR,BERAU,"58"
SUMATERA BARAT,AGAM,"59"
JAWA BARAT,PURWAKARTA,"60"
PAPUA BARAT,TELUK WONDAMA,"61"
JAWA TENGAH,SRAGEN,"62"
BENGKULU,SELUMA,"63"
LAMPUNG,WAY KANAN,"64"
SULAWESI TENGGARA,KOLAKA UTARA,"65"
SULAWESI SELATAN,MAKASSAR,"66"
JAWA TIMUR,JOMBANG,"67"
MALUKU UTARA,PULAU TALIABU,"68"
JAWA BARAT,BOGOR,"69"
JAWA TENGAH,KUDUS,"70"
MALUKU UTARA,HALMAHERA BARAT,"71"
SUMATERA UTARA,PAKPAK BHARAT,"72"
KEPULAUAN BANGKA BELITUNG,BELITUNG,"73"
SULAWESI SELATAN,TAKALAR,"74"
KALIMANTAN BARAT,LANDAK,"75"
SUMATERA BARAT,SOLOK,"76"
SUMATERA UTARA,NIAS SELATAN,"77"
SULAWESI SELATAN,SIDENRENG RAPPANG,"78"
LAMPUNG,TULANGBAWANG,"79"
KALIMANTAN BARAT,KAYONG UTARA,"80"
SULAWESI TENGAH,SIGI,"81"
NUSA TENGGARA BARAT,BIMA,"82"
SULAWESI SELATAN,SOPPENG,"83"
SUMATERA UTARA,TAPANULI TENGAH,"84"
BALI,BANGLI,"85"
JAMBI,BUNGO,"86"
JAWA TENGAH,PATI,"87"
JAWA TENGAH,TEGAL,"88"
PAPUA,SUPIORI,"89"
KALIMANTAN SELATAN,HULU SUNGAI UTARA,"90"
SUMATERA SELATAN,DANAU,"91"
SULAWESI TENGGARA,BOMBANA,"92"
RIAU,KUANTAN SINGINGI,"93"
JAWA TIMUR,LAMONGAN,"94"
PAPUA,MAMBERAMO TENGAH,"95"
NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,"96"
MALUKU UTARA,HALMAHERA SELATAN,"97"
SULAWESI UTARA,BOLAANG MONGONDOW TIMUR,"98"
RIAU,BENGKALIS,"99"
PAPUA BARAT,MANOKWARI,"100"
KALIMANTAN TENGAH,BARITO UTARA,"101"
RIAU,KEPULAUAN MERANTI,"102"
KALIMANTAN BARAT,SANGGAU,"103"
KALIMANTAN TENGAH,GUNUNG MAS,"104"
KALIMANTAN TIMUR,SAMARINDA,"105"
SUMATERA BARAT,KEPULAUAN MENTAWAI,"106"
JAWA TENGAH,BREBES,"107"
KALIMANTAN SELATAN,HULU SUNGAI SELATAN,"108"
LAMPUNG,DANAU,"109"
SULAWESI TENGGARA,KOLAKA TIMUR,"110"
KALIMANTAN SELATAN,TANAH LAUT,"111"
SULAWESI SELATAN,MAROS,"112"
JAWA TIMUR,TUBAN,"113"
SULAWESI BARAT,MAJENE,"114"
PAPUA,JAYAPURA,"115"
PAPUA,MAMBERAMO RAYA,"116"
SUMATERA UTARA,BATU BARA,"117"
NUSA TENGGARA TIMUR,NAGEKEO,"118"
NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,"119"
BALI,BADUNG,"120"
KALIMANTAN BARAT,SAMBAS,"121"
PAPUA,PANIAI,"122"
JAWA TENGAH,WADUK KEDU,"123"
JAWA TIMUR,BATU,"124"
ACEH,ACEH SINGKIL,"125"
DKI JAKARTA,KEPULAUAN SERIBU,"126"
SUMATERA UTARA,PADANGSIDIMPUAN,"127"
DKI JAKARTA,JAKARTA TIMUR,"128"
MALUKU UTARA,TIDORE KEPULAUAN,"129"
SULAWESI SELATAN,WAJO,"130"
SUMATERA SELATAN,PAGAR ALAM,"131"
KEPULAUAN RIAU,BATAM,"132"
JAWA TENGAH,SURAKARTA,"133"
SUMATERA SELATAN,LUBUKLINGGAU,"134"
BENGKULU,MUKOMUKO,"135"
SULAWESI TENGAH,POSO,"136"
BANTEN,TANGERANG SELATAN,"137"
NUSA TENGGARA TIMUR,FLORES TIMUR,"138"
SUMATERA UTARA,PEMATANG SIANTAR,"139"
SULAWESI SELATAN,ENREKANG,"140"
PAPUA,TOLIKARA,"141"
KALIMANTAN TIMUR,MAHAKAM HULU,"142"
KALIMANTAN TIMUR,PENAJAM PASER UTARA,"143"
LAMPUNG,LAMPUNG TIMUR,"144"
SULAWESI TENGGARA,KENDARI,"145"
NUSA TENGGARA TIMUR,SABU RAIJUA,"146"
SUMATERA UTARA,SAMOSIR,"147"
SUMATERA UTARA,NIAS UTARA,"148"
ACEH,ACEH SELATAN,"149"
KALIMANTAN BARAT,MEMPAWAH,"150"
PAPUA,MAPPI,"151"
RIAU,PEKANBARU,"152"
SULAWESI TENGGARA,BAUBAU,"153"
BANTEN,PANDEGLANG,"154"
MALUKU,MALUKU TENGGARA BARAT,"155"
JAMBI,TANJUNG JABUNG BARAT,"156"
MALUKU,MALUKU TENGGARA,"157"
ACEH,PIDIE JAYA,"158"
KALIMANTAN TENGAH,KOTAWARINGIN BARAT,"159"
JAWA TIMUR,TRENGGALEK,"160"
SUMATERA BARAT,SIJUNJUNG,"161"
SULAWESI UTARA,KEPULAUAN TALAUD,"162"
SULAWESI TENGAH,PARIGI MOUTONG,"163"
SULAWESI UTARA,MINAHASA SELATAN,"164"
SULAWESI UTARA,SIAU TAGULANDANG BIARO,"165"
SUMATERA UTARA,TAPANULI SELATAN,"166"
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,"167"
SUMATERA UTARA,NIAS BARAT,"168"
KEPULAUAN RIAU,TANJUNG PINANG,"169"
NUSA TENGGARA TIMUR,SIKKA,"170"
