"id","provinsi","kabupaten","kecamatan","id_kabupaten"
"45",JAWA TIMUR,MALANG,NGAJUM,"39"
"46",JAWA TENGAH,KLATEN,KARANGDOWO,"465"
"47",SUMATERA UTARA,PADANG LAWAS,BARUMUN TENGAH,"349"
"48",JAWA BARAT,TASIKMALAYA,GUNUNGTANJUNG,"395"
"49",PAPUA BARAT,MAYBRAT,AIFAT TIMUR SELATAN,"51"
"50",SULAWESI TENGGARA,MUNA BARAT,LAWA,"402"
"51",SUMATERA UTARA,DELI SERDANG,PANCUR BATU,"38"
"52",MALUKU UTARA,HALMAHERA UTARA,TOBELO,"396"
"53",PAPUA BARAT,MAYBRAT,MARE SELATAN,"51"
"54",SULAWESI TENGGARA,BUTON TENGAH,GU,"314"
"55",NUSA TENGGARA BARAT,LOMBOK BARAT,GUNUNG SARI,"495"
"56",LAMPUNG,LAMPUNG TENGAH,PUBIAN,"13"
"57",PAPUA,DOGIYAI,KAMU SELATAN,"266"
"58",JAWA TIMUR,JOMBANG,JOMBANG,"67"
"59",KALIMANTAN BARAT,KETAPANG,HULU SUNGAI,"259"
"60",KALIMANTAN SELATAN,BANJAR,GAMBUT,"425"
"61",LAMPUNG,LAMPUNG TENGAH,BANDAR MATARAM,"13"
"62",BANTEN,PANDEGLANG,MENES,"154"
"63",SULAWESI TENGGARA,KOLAKA UTARA,PAKUE TENGAH,"65"
"64",KALIMANTAN BARAT,KAPUAS HULU,MENTEBAH,"410"
"65",BANTEN,LEBAK,BOJONGMANIK,"338"
"66",KALIMANTAN TIMUR,PENAJAM PASER UTARA,SEPAKU,"143"
"67",JAWA BARAT,SUKABUMI,JAMPANG KULON,"324"
"68",RIAU,D U M A I,DUMAI KOTA,"490"
"69",JAWA BARAT,BOGOR,TENJOLAYA,"69"
"70",JAWA TIMUR,TULUNGAGUNG,GONDANG,"44"
"71",PAPUA,JAYAWIJAYA,ITLAY HASIGE,"181"
"72",MALUKU UTARA,PULAU MOROTAI,MOROTAI UTARA,"185"
"73",KALIMANTAN SELATAN,BARITO KUALA,MANDASTANA,"255"
"74",KALIMANTAN TENGAH,GUNUNG MAS,MANUHING,"104"
"75",LAMPUNG,METRO,METRO BARAT,"328"
"76",SUMATERA UTARA,PADANGSIDIMPUAN,PADANGSIDIMPUAN TENGGARA,"127"
"77",RIAU,D U M A I,DUMAI SELATAN,"490"
"78",JAWA TENGAH,GROBOGAN,GUBUG,"368"
"79",JAWA TIMUR,NGANJUK,PACE,"473"
"80",PAPUA BARAT,TELUK WONDAMA,WASIOR,"61"
"81",JAWA TIMUR,JOMBANG,BARENG,"67"
"82",KALIMANTAN TIMUR,SAMARINDA,SAMARINDA SEBERANG,"105"
"83",PAPUA,KEPULAUAN YAPEN,PULAU YERUI,"296"
"84",GORONTALO,BONE BOLANGO,SUWAWA TENGAH,"227"
"85",SUMATERA UTARA,NIAS SELATAN,ULUNOYO,"77"
"86",SUMATERA BARAT,PADANG PARIAMAN,IV KOTO AUR MALINTANG,"270"
"87",KALIMANTAN SELATAN,TAPIN,TAPIN UTARA,"367"
"88",KALIMANTAN SELATAN,KOTA BARU,KELUMPANG UTARA,"373"
"89",SUMATERA UTARA,BATU BARA,LIMAPULUH,"117"
"90",JAWA TIMUR,SITUBONDO,BANYUPUTIH,"360"
"91",MALUKU UTARA,HALMAHERA UTARA,GALELA SELATAN,"396"
"92",SULAWESI UTARA,KEPULAUAN SANGIHE,KENDAHE,"263"
"93",JAWA BARAT,TASIKMALAYA,BOJONGGAMBIR,"395"
"94",LAMPUNG,TULANG BAWANG BARAT,LAMBU KIBANG,"478"
"95",KALIMANTAN TIMUR,BALIKPAPAN,BALIKPAPAN UTARA,"3"
"96",JAWA TENGAH,WONOGIRI,BATUWARNO,"216"
"97",PAPUA BARAT,TELUK BINTUNI,ARANDAY,"346"
"98",SULAWESI SELATAN,BANTAENG,EREMERASA,"442"
"99",MALUKU UTARA,HALMAHERA UTARA,MALIFUT,"396"
"100",BENGKULU,KAUR,KAUR SELATAN,"436"
"101",JAMBI,MUARO JAMBI,SEKERNAN,"8"
"102",PAPUA BARAT,RAJA AMPAT,KOTA WAISAI,"319"
"103",JAWA TIMUR,SURABAYA,SUKO MANUNGGAL,"475"
"104",SUMATERA UTARA,DELI SERDANG,HAMPARAN PERAK,"38"
"105",SULAWESI TENGGARA,KONAWE KEPULAUAN,WAWONII TENGAH,"228"
"106",SUMATERA SELATAN,BANYU ASIN,MUARA TELANG,"461"
"107",SUMATERA SELATAN,BANYU ASIN,AIR KUMBANG,"461"
"108",LAMPUNG,BANDAR LAMPUNG,TELUK BETUNG UTARA,"336"
"109",PAPUA,PEGUNUNGAN BINTANG,YEFTA,"304"
"110",JAWA TIMUR,MOJOKERTO,KEMLAGI,"434"
"111",NUSA TENGGARA TIMUR,MANGGARAI TIMUR,KOTA KOMBA,"290"
"112",MALUKU UTARA,TIDORE KEPULAUAN,OBA TENGAH,"129"
"113",JAWA TIMUR,MOJOKERTO,PURI,"434"
"114",PAPUA,KEPULAUAN YAPEN,PULAU KURUDU,"296"
"115",NUSA TENGGARA TIMUR,LEMBATA,ATADEI,"356"
"116",JAWA BARAT,BANDUNG BARAT,CIHAMPELAS,"187"
"117",PAPUA,BIAK NUMFOR,BIAK UTARA,"229"
"118",JAWA BARAT,MAJALENGKA,LIGUNG,"219"
"119",BANTEN,CILEGON,CIWANDAN,"488"
"120",DAERAH ISTIMEWA YOGYAKARTA,BANTUL,SRANDAKAN,"192"
"121",BALI,BANGLI,SUSUT,"85"
"122",JAWA TIMUR,PONOROGO,JENANGAN,"18"
"123",MALUKU,MALUKU TENGGARA,KEI BESAR UTARA BARAT,"157"
"124",SUMATERA UTARA,MEDAN,MEDAN BARAT,"195"
"125",ACEH,ACEH TIMUR,IDI RAYEUK,"486"
"126",KALIMANTAN TENGAH,SERUYAN,SERUYAN RAYA,"348"
"127",SULAWESI SELATAN,TORAJA UTARA,KAPALA PITU,"286"
"128",KALIMANTAN TENGAH,GUNUNG MAS,SEPANG,"104"
"129",JAWA TIMUR,LAMONGAN,LAMONGAN,"94"
"130",SULAWESI TENGAH,BANGGAI KEPULAUAN,LIANG,"226"
"131",JAWA TENGAH,KLATEN,WEDI,"465"
"132",SULAWESI TENGAH,BUOL,GADUNG,"45"
